MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0001137	food_trav_mode	food shipping transportation method	GENEPIO:0001064	{termLabel} {[termID]}	m		A descriptor for the method of movement of food commodity along the food distribution system.  This field accepts terms listed under travel mode (http://purl.obolibrary.org/obo/GENEPIO_0001064). If the proper descrptor is not listed please use text to describe the mode of travel. Multiple terms can be separated by one or more pipes.
MIXS:0000113	temp	temperature	measurement value	{float} {unit}	1	degree Celsius	Temperature of the sample at the time of sampling.
MIXS:0000058	assembly_software	assembly software	name and version of software, parameters used	{software};{version};{parameters}			Tool(s) used for assembly, including version number and parameters
MIXS:0000118	wind_speed	wind speed	measurement value	{float} {unit}	1	meter per second, kilometer per hour	Speed of wind measured at the time of sampling
MIXS:0000110	samp_store_temp	sample storage temperature	measurement value	{float} {unit}	1	degree Celsius	Temperature at which sample was stored, e.g. -80 degree Celsius
MIXS:0000579	root_med_micronutr	rooting medium micronutrients	micronutrient name;measurement value	{text};{float} {unit}	1	milligram per liter	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2¬†mg/L).
MIXS:0001203	food_dis_point	food distribution point geographic location	country: region, specific location	{term}: {term}, {text}	m		A reference to a place on the Earth, by its name or by its geographical location that refers to a distribution point along the food chain. This field accepts terms listed under geographic location (http://purl.obolibrary.org/obo/GAZ_00000448). Reference: Adam Diamond, James Barham. Moving Food Along the Value Chain: Innovations in Regional Food Distribution. U.S. Dept. of Agriculture, Agricultural Marketing Service. Washington, DC. March 2012. http://dx.doi.org/10.9752/MS045.03-2012.
MIXS:0000394	tvdss_of_hcr_temp	depth (TVDSS) of hydrocarbon resource temperature	measurement value	{float} {unit}	1	meter	True vertical depth subsea (TVDSS) of the hydrocarbon resource where the original temperature was measured (e.g. 1345 m).
MIXS:0000365	host_genotype	host genotype	genotype	{text}	1		Observed genotype
MIXS:0000010	geo_loc_name	geographic location (country and/or sea,region)	country or sea name (INSDC or GAZ): region(GAZ), specific location name	{term}: {term}, {text}	1		The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology  (http://purl.bioontology.org/ontology/GAZ).
MIXS:0000244	samp_room_id	sampling room ID or name	value	{integer}	1		Sampling room number. This ID should be consistent with the designations on the building floor plans
MIXS:0000336	soil_texture_meth	soil texture method	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil texture
MIXS:0001163	soil_temp	soil temperature	measurement value	{float} {unit}	1	degree Celsius	Temperature of soil at the time of sampling.
MIXS:0000866	host_body_habitat	host body habitat	original symbiotic organism (host of the samples) body habitat where the sample was obtained from; free text	{text}	1		Original body habitat where the sample was obtained from.
MIXS:0001158	soil_conductivity	soil conductivity	measurement value				Conductivity of some soil.
MIXS:0000310	carb_nitro_ratio	carbon/nitrogen ratio	measurement value	{float}:{float}	1		Ratio of amount or concentrations of carbon to nitrogen
MIXS:0000248	host_common_name	host common name	common name	{text}	1	 	Common name of the host.
MIXS:0000736	size_frac_up	size-fraction upper threshold	value	{float} {unit}	1	micrometer	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample.
MIXS:0000111	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	measurement value	{float} {unit}	1	millliter, gram, milligram, square centimeter	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).
MIXS:0000530	tot_nitro_content	total nitrogen content	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Total nitrogen content of the sample
MIXS:0000092	project_name	project name	text	{text}	1		Name of the project within which the sequencing was organized.
MIXS:0000032	trophic_level	trophic level	enumeration	[autotroph| carboxydotroph| chemoautotroph| chemoheterotroph| chemolithoautotroph| chemolithotroph| chemoorganoheterotroph| chemoorganotroph| chemosynthetic| chemotroph| copiotroph| diazotroph| facultative| autotroph| heterotroph| lithoautotroph| lithoheterotroph| lithotroph| methanotroph| methylotroph| mixotroph| obligate| chemoautolithotroph| oligotroph| organoheterotroph| organotroph| photoautotroph| photoheterotroph| photolithoautotroph| photolithotroph| photosynthetic| phototroph]	1		Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)
MIXS:0001154	samp_source_mat_cat	sample source material category	OBI:0100051	{termLabel} {[termID]}	1		This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).
MIXS:0001208	food_pack_capacity	food package capacity	measurement value	{float} {unit}	1	grams	The maximum number of product units within a package.
MIXS:0000755	samp_store_loc	sample storage location	text	{text}	1		Location at which sample was stored, usually name of a specific freezer/room. Indicate the location name.
MIXS:0001069	standing_water_regm	standing water regimen	standing water type;treatment interval and duration	{text};{Rn/start_time/end_time/duration}	m		Treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens
MIXS:0000014	env_medium	environmental medium	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	{termLabel} {[termID]}	1		Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).
MIXS:0000875	gravidity	gravidity	gravidity status of the symbiotic organism (host of the samples);timestamp	{boolean};{timestamp}	1		Whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used.
MIXS:0000252	host_substrate	host substrate	substrate name	{text}	1		The growth substrate of the host.
MIXS:0000032	trophic_level	trophic level	enumeration	[autotroph|carboxydotroph|chemoautotroph|chemoheterotroph|chemolithoautotroph|chemolithotroph|chemoorganoheterotroph|chemoorganotroph|chemosynthetic|chemotroph|copiotroph|diazotroph|facultative|autotroph|heterotroph|lithoautotroph|lithoheterotroph|lithotroph|methanotroph|methylotroph|mixotroph|obligate|chemoautolithotroph|oligotroph|organoheterotroph|organotroph|photoautotroph|photoheterotroph|photolithoautotroph|photolithotroph|photosynthetic|phototroph]	1		Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)
MIXS:0000256	host_length	host length	measurement value	{float} {unit}	1	centimeter, millimeter, meter	The length of subject
MIXS:0001298	host_symbiont	observed host symbionts	species name or common name	{text}	m		The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).
MIXS:0000100	humidity	humidity	measurement value	{float} {unit}	1	gram per cubic meter	Amount of water vapour in the air, at the time of sampling
MIXS:0001038	biotic_regm	biotic regimen	free text	{text}	1		Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.
MIXS:0000579	root_med_micronutr	rooting medium micronutrients	micronutrient name;measurement value	{text};{float} {unit}	1	milligram per liter	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L).
MIXS:0000226	freq_clean	frequency of cleaning	text	{text}	1		The number of times the sample location is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.
MIXS:0000016	samp_mat_process	sample material processing	text or OBI	{text|term}	1		A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.
MIXS:0001147	lot_number	lot number	lot number, item	{integer}, {text}			A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number. The submitter should provide lot number of the item followed by the item name for which the lot number was provided.
MIXS:0000191	turbidity	turbidity	measurement value	{float} {unit}	1	formazin turbidity unit, formazin nephelometric units	Measure of the amount of cloudiness or haziness in water caused by individual particles
MIXS:0000009	lat_lon	geographic location (latitude and longitude)	decimal degrees, limit to 8 decimal points	{float} {float}	1		The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.
MIXS:0001113	animal_feed_equip	animal feeding equipment	EOL:0001757	{termLabel} {[termID]}	m		Description of the feeding equipment used for livestock. This field accepts terms listed under feed delivery (http://opendata.inra.fr/EOL/EOL_0001757). Multiple terms can be separated by pipes.
MIXS:0000858	biol_stat	biological status	enumeration	[wild|natural|semi-natural|inbred line|breeder's line|hybrid|clonal selection|mutant]	1		The level of genome modification
MIXS:0000752	misc_param	miscellaneous parameter	parameter name; measurement value	{text};{float} {unit}	m		Any other measurement performed or parameter collected, that is not listed here
MIXS:0000263	host_tot_mass	host total mass	measurement value	{float} {unit}	1	kilogram, gram	Total mass of the host at collection, the unit depends on host
MIXS:0000012	env_broad_scale	broad-scale environmental context	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	{termLabel} {[termID]}	1		Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS
MIXS:0000056	assembly_quality	assembly quality	enumeration	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]			The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated
MIXS:0000435	density	density	measurement value	{float} {unit}	1	gram per cubic meter, gram per cubic centimeter	Density of the sample, which is its mass per unit volume (aka volumetric mass density)
MIXS:0000872	host_family_relation	host family relationship	Relationships to other symbiotic organisms (host od samples) in the same study; relationship type;arbitrary identifier	{text};{text}	1		Relationships to other hosts in the same study; can include multiple relationships.
MIXS:0000260	host_color	host color	color	{text}	1		The color of host
MIXS:0000056	assembly_quality	assembly quality	enumeration	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]	1		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated
MIXS:0000014	env_medium	environmental medium	Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]	{termLabel} {[termID]}	1		Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).
MIXS:0000757	wind_direction	wind direction	wind direction name	{text}	1		Wind direction is the direction from which a wind originates
MIXS:0000756	ventilation_type	ventilation type	ventilation type name	{text}	m		Ventilation system used in the sampled premises.
MIXS:0000490	alkyl_diethers	alkyl diethers	measurement value	{float} {unit}	1	mole per liter	Concentration of alkyl diethers
MIXS:0001001	ph	pH	measurement value	{float}	1		pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.
MIXS:0001298	host_symbiont	observed host symbionts	species name or common name	{text}	m		The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.
MIXS:0000645	season_precpt	mean seasonal precipitation	measurement value	{float} {unit}	m	millimeter	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.
MIXS:0000325	pool_dna_extracts	pooling of DNA extracts (if done)	pooling status;number of pooled extracts	{boolean};{integer}	1		Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given
MIXS:0000008	experimental_factor	experimental factor	text or EFO and/or OBI	{termLabel} {[termID]}|{text}	1		Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI
MIXS:0000325	pool_dna_extracts	pooling of DNA extracts (if done)	pooling status;number of pooled extracts	{boolean},{integer}	m		Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given.
MIXS:0000336	soil_texture_meth	soil texture method	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil texture.
MIXS:0001057	plant_growth_med	plant growth medium	EO or enumeration	{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	m		Specification of the media for growing the plants or tissue cultured samples, e.g. soil, aeroponic, hydroponic, in vitro solid culture medium, in vitro liquid culture medium. Recommended value is a specific value from EO:plant growth medium (follow this link for terms http://purl.obolibrary.org/obo/EO_0007147) or other controlled vocabulary
MIXS:0000116	samp_store_dur	sample storage duration	duration	{duration}	1		Duration for which the sample was stored
MIXS:0000318	crop_rotation	history/crop rotation	crop rotation status;schedule	{boolean};{Rn/start_time/end_time/duration}	1		Whether or not crop is rotated, and if yes, rotation schedule
MIXS:0000871	host_growth_cond	host growth conditions	Literature reference giving growth conditions of the symbiotic organism (host of the samples); PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	1		Literature reference giving growth conditions of the host.
MIXS:0000754	perturbation	perturbation	perturbation type name;perturbation interval and duration	{text};{interval}	m		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types
MIXS:0000124	air_temp	air temperature	measurement value	{float} {unit}	1	degree Celsius	Temperature of the air at the time of sampling.
MIXS:0000337	tot_org_c_meth	total organic carbon method	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining total organic carbon
MIXS:0000191	turbidity	turbidity	measurement value	{float} {unit}	1	formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units	Measure of the amount of cloudiness or haziness in water caused by individual particles
MIXS:0000108	air_PM_concen	air particulate matter concentration	particulate matter name;measurement value	{text};{float} {unit}	m	microgram per cubic meter	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM
MIXS:0001139	food_source	food source	FOODON term	{termLabel} {[termID]}	1		Type of plant or animal from which the food product or its major ingredient is derived or a chemical food source [FDA CFSAN 1995].
MIXS:0000261	host_shape	host shape	shape of the symbiotic organism (host of the samples)	{text}	1		Morphological shape of host.
MIXS:0000183	salinity	salinity	measurement value	{float} {unit}	1	practical salinity unit, percentage	Salinity is the total concentration of all dissolved salts in a water sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater
MIXS:0000011	collection_date	collection date	date and time	{timestamp}	1		The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.
MIXS:0000248	host_common_name	host common name	common name	{text}	1		Common name of the host.
MIXS:0000334	soil_type_meth	soil type method	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil series name or other lower-level classification.
MIXS:0000582	salt_regm	salt regimen	salt name;salt amount;treatment interval and duration	{text};{float} {unit};{period};{interval};{period}	m	gram, microgram, mole per liter, gram per liter	Information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple salt regimens
MIXS:0001123	farm_equip_shared	equipment shared with other farms					List of planting, growing or harvesting equipment shared with other farms.
MIXS:0000753	oxy_stat_samp	oxygenation status of sample	enumeration	[aerobic|anaerobic|other]	1		Oxygenation status of sample
MIXS:0000758	surf_material	surface material	enumeration	[adobe|carpet|cinder blocks|concrete|hay bales|glass|metal|paint|plastic|stainless steel|stone|stucco|tile|vinyl|wood]	1		Surface materials at the point of sampling.
MIXS:0000037	nucl_acid_ext	nucleic acid extraction	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.
MIXS:0000336	soil_texture_meth	soil texture method	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil texture classification.
MIXS:0000264	host_height	host height	height of the symbiotic organism (host of the samples); measurement value	{float} {unit}	1	nanometre, micrometre, millimeter, centimeter, meter	The height of subject.
MIXS:0001001	ph	pH	measurement value	{float}	1		Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid
MIXS:0000859	genetic_mod	genetic modification	PMID,DOI,url, or text	{PMID}|{DOI}|{URL}|{text}	1		Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection.
MIXS:0000874	host_phenotype	host phenotype	PATO or HP	{termLabel} {[termID]}	1		Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP
MIXS:0000867	host_body_site	host body site	body site of the symbiotic organism (host of the samples) where the samples was obtained from; FMA or UBERON	{termLabel} {[termID]}	1		Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON.
MIXS:0000757	wind_direction	wind direction	cardinal wind direction or azimuth degrees	{text}	1	degrees or cardinal direction	Wind direction is the direction from which a wind originates.
MIXS:0001057	plant_growth_med	plant growth medium	EO or enumeration	{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	1		Specification of the media for growing the plants or tissue cultured samples, e.g. soil, aeroponic, hydroponic, in vitro solid culture medium, in vitro liquid culture medium. Recommended value is a specific value from EO:plant growth medium (follow this link for terms http://purl.obolibrary.org/obo/EO_0007147) or other controlled vocabulary
MIXS:0000829	season	season	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	{termLabel} {[termID]}	1		The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).
MIXS:0000009	lat_lon	geographic location (latitude and longitude)	decimal degrees, limit to 8 decimal points	{float} {float}	1		The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system
MIXS:0001040	climate_environment	climate environment	climate name;treatment interval and duration	{text};{Rn/start_time/end_time/duration}	m		Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates
MIXS:0000434	diss_inorg_carb	dissolved inorganic carbon	measurement value	{float} {unit}	1	microgram per liter, milligram per liter, parts per million	Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter
MIXS:0000091	associated resource	relevant electronic resources	reference to resource	{PMID}|{DOI}|{URL}	m		A related resource that is referenced, cited, or otherwise associated to the sequence. 
MIXS:0000753	oxy_stat_samp	oxygenation status of sample	enumeration	[aerobic|anaerobic|other]	1		Oxygenation status of sample.
MIXS:0000109	samp_salinity	sample salinity	measurement value	{float} {unit}	1	milligram per liter, practical salinity unit, percentage	Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater
MIXS:0000002	samp_collect_device	sample collection device	device name	{termLabel} {[termID]}|{text}	1		The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).
MIXS:0001069	standing_water_regm	standing water regimen	standing water type;treatment interval and duration	{text};{period};{interval};{period}	m		Treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens
MIXS:0000255	host_age	host age	age of the symbiotic organism (host of the samples); value	{float} {unit}	1	year, day, hour	Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees.
MIXS:0000001	samp_size	amount or size of sample collected	measurement value	{float} {unit}	1	liter, gram, cm^2	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
MIXS:0000515	part_org_carb	particulate organic carbon	measurement value	{float} {unit}	1	microgram per liter	Concentration of particulate organic carbon
MIXS:0000211	porosity	porosity	measurement value range	{float} - {float} {unit}	1	percentage	Porosity of deposited sediment is volume of voids divided by the total volume of sample.
MIXS:0001123	farm_equip_shared	equipment shared with other farms	AGRO:00000416	{termLabel} {[termID]}	m		List of planting, growing or harvesting equipment shared with other farms. This field accepts terms listed under agricultural implement (http://purl.obolibrary.org/obo/AGRO_00000416). Multiple terms can be separated by pipes.
MIXS:0000114	ventilation_rate	ventilation rate	measurement value	{float} {unit}	1	cubic meter per minute, liters per second	Ventilation rate of the system in the sampled premises.
MIXS:0001040	climate_environment	climate environment	climate name;treatment duration;interval;experimental duration	{text};{period};{interval};{period}	m		Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates
MIXS:0000645	season_precpt	mean seasonal precipitation	measurement value	{float} {unit}	1	millimeter	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.
MIXS:0000111	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	measurement value	{float} {unit}	1	millliter, gram, milligram	Volume (ml), weight (g) of processed sample, or surface area swabbed from sample for DNA extraction.
MIXS:0000185	water_content	water content	measurement value	{float} {unit}	1	gram per gram or cubic centimeter per cubic centimeter	Water content measurement
MIXS:0000591	watering_regm	watering regimen	measurement value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	m	milliliter, liter	Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens
MIXS:0000755	samp_store_loc	sample storage location	location name	{text}	1		Location at which sample was stored, usually name of a specific freezer/room.
MIXS:0000557	fungicide_regm	fungicide regimen	fungicide name;fungicide amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	m	gram, mole per liter, milligram per liter	Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens
MIXS:0000573	pesticide_regm	pesticide regimen	pesticide name;pesticide amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	m	gram, mole per liter, milligram per liter	Information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple pesticide regimens
